,ORGQ_ID,RELQ_CATEGORY,RELQ_DATE,RELQ_ID,RELQ_RANKING_ORDER,RELQ_RELEVANCE2ORGQ,RELQ_USERID,RELQ_USERNAME,RELQ_text,ORGQ_SUBJECT,ORGQ_TEXT,genre
19,Q2,Visas and Permits,2012-10-06 23:20:03,Q2_R83,83,Relevant,U116,ravi.shock,Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
20,Q3,Visas and Permits,2010-05-21 17:45:29,Q3_R1,1,PerfectMatch,U72,Jomans,I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
21,Q3,Visas and Permits,2011-10-13 10:21:49,Q3_R13,13,Relevant,U122,silly111,HI ;; IF WIFE IS UNDER HER HUSBAND'S SPONSORSHIP AND IS WILLING TO COME QATAR ON VISIT; HOW LONG SHE CAN STAY AFTER EXTENDING THE VISA EVERY MONTH? I HAVE HEARD ITS NOT POSSIBLE TO EXTEND VISIT VISA MORE THAN 6 MONTHS? CAN U PLEASE ANSWER ME.. THANKZZZ...,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
22,Q3,Advice and Help,2014-08-20 10:36:22,Q3_R25,25,Irrelevant,U63,peylenzkie,Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
23,Q3,Visas and Permits,2009-05-20 09:03:55,Q3_R46,46,Relevant,U2,anonymous,Is it true that personal visit visa cannot extend to 5 months as per today news? Validity is only one month-- no more extension?,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
24,Q3,Visas and Permits,2011-11-28 10:03:00,Q3_R49,49,Relevant,U2,anonymous,My visa is visit visa for 1 month then naextend for another 5 months then nkahanap n aq ng work nung png 4th month q. Sabi ng company mavivisahan aq then nung malapit n maxpired ung visa q ang gnawa ng company is inextend nla ng another 1 month and now wla p din aqng working visa sbi nla plage ay on process. My question is pwede p bng maextend ulit un or pwede bng business visa nlng muna while waiting for my working visa??? thanks!,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
25,Q3,Visas and Permits,2012-01-18 16:08:30,Q3_R60,60,Irrelevant,U131,ever_love35,Dear All; I have been working with a local company; my probaion period is 6 months. however i m not happy with my job; and would like to change. i got another offer from different co. 1.can i resign? if so how many days notice as per qatari law. 2.can i change my sponsorship to my new company I have done medical but finger print NOT done; not contract sign.. pls help me,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
26,Q3,Qatar Living Lounge,2006-10-01 15:50:50,Q3_R61,61,Relevant,U138,riteshmdr,Hi Guys; Do U any have idea regarding the procedure of Visas over there in Qatar. If anybody comes in visit visa and search for jobs over there. If any find the job; in that circumstance how the process will be to change the visit visa to working visa. Is it difficult and time consuming. How have to process for the change of visa???? Kindly suggest anybody..Take care,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
27,Q3,Visas and Permits,2012-08-11 19:22:54,Q3_R68,68,Irrelevant,U146,brattykharz,Hello everyone; I'm already here in Qatar a month ago under business visa with my sponsor. Do I still need an NOC in order to apply for another company here in Qatar if ever I decide to go home on the 3 month period of the business visa? Thanks.,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
28,Q3,Visas and Permits,2011-12-11 12:22:42,Q3_R77,77,PerfectMatch,U154,mishilmishil,I'm outside of Qatar for 5 months now; I filed a resignation to my company but they did not allow me. I had to take an emergency leave because of some issues in my homeland. I'm aware that the visa/rp will be cancelled after 6 months of being outside the country but can my employer file an absconding case against me on the ground of non-returning from emergency leave?,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
29,Q3,Visas and Permits,2008-06-05 15:00:20,Q3_R79,79,Irrelevant,U156,smithbits,My profession shown in my residence visa is Technician whereas in reality I am working as Manager. I tried to change my profession from Technician to Manager through our agent but for some reason he is saying it is not possible. I have Masters in Business administration and Masters in Geology. I really wonder why this change can't be done. Does any body has any suggestion of how to do this change?,how to extend the visit visa after 6 months and how long period?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,none
30,Q4,Visas and Permits,2008-02-16 00:27:37,Q4_R6,6,Relevant,U162,libbysen,Hello I would like to know what are the required documents for applying for family visa; Already my wife is in qatar on visit visa. I need to change it to Family visa for RP. Please anyone tell me what all I require. * Regarding the bank statement ; is three(3) months bank statement enough? cause i can give only for three months. I opened an account only this month.. Pls advice.. Thank you. With regards. ,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
31,Q4,Visas and Permits,2013-01-06 00:42:55,Q4_R8,8,Irrelevant,U167,robherr soft,Can my sponsor cancel my visa even without my passport? Thank you guys...,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
32,Q4,Qatar Living Lounge,2007-09-04 15:27:20,Q4_R9,9,Irrelevant,U172,nabil_munir,well; as far as the western countries are concerned they are giving special care for the expat born there . i doesnt seem to happen here in qatar from the government point of view or i may dont know any such favours kindly reply with ur experience please.....,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
33,Q4,Visas and Permits,2011-12-07 13:06:14,Q4_R11,11,Irrelevant,U182,mcdonalds3000,Tatanong lang po kung sino man sa mga kabayan natin ang nag Hongkong muna (nag tour man o hindi) tapos pumunta ng Qatar. Ano ba ang mga tinatanong na mga reequirements ng Hongkong immigration kung papunta ka dito sa Qatar?,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
34,Q4,Family Life in Qatar,2006-09-30 18:17:23,Q4_R14,14,Irrelevant,U187,Chrissy,Does anyone out there have a child in this school? We are moving out next month and have a place at Park House for our 7yrs son. What is it like. Feedback please!!!!,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
35,Q4,Visas and Permits,2012-05-03 08:32:19,Q4_R18,18,Relevant,U2,anonymous,Dear you know imigration having any particular time for extending family visit visa? In doha; imigration office only in madina kalifa or ? which time & which days captain available there? We need to extend our family visit visa this month end then six months finished... Please help me ...,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
36,Q4,Visas and Permits,2010-11-15 18:28:07,Q4_R21,21,Irrelevant,U192,yasir arafat,i have applied for a visit visa for my wife; the visa is printed and delivered but the gender on the visa is wrong. Funny thing is that the Profession mentioned is Housewife and the gender entered in the visa is Male. So i don't know what to do now and whom to call? and how long it will take to correct it?,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
37,Q4,Family Life in Qatar,2007-07-25 14:09:11,Q4_R23,23,Irrelevant,U198,nata,Has anybody dragged very reluctant teenagers to Qatar? How did they adapt after getting there. My 14yr old was initially quite keen but as time is getting closer to us leaving home he is protesting and being very negative about coming to Qatar. Does anyone have any suggestions on how to cope with this behaviour?,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
38,Q4,Advice and Help,2007-03-17 19:14:04,Q4_R25,25,Relevant,U204,WaRider,A friend of mine asked me to post this question His girlfriend is coming to visit him from the US and they wanna stay at a hotel; would it be ok for them to take a hotel room?,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
39,Q4,Family Life in Qatar,2007-06-04 20:55:08,Q4_R28,28,Irrelevant,U207,mama-e,Hi. Does anyone know of any English speaking middle/high school with a boarding facility in Qatar? If not; is there anyone who has a child/children in a boarding school elsewhere? In what country? Any information will be very much appreciated! Thank you!,how can my boyfriend get me and our baby son a visit visa there?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,none
40,Q5,Moving to Qatar,2007-03-07 15:31:05,Q5_R3,3,Relevant,U211,Serendipity,This post does what it says on the tin. Any advice? I'm coming from the UK. What kind of things should I be thinking about shipping; what stuff should I leave behind and buy when I get out there? Thank you or should I start practising and say 'shukran' now? :o),Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
41,Q5,Doha Shopping,2010-06-27 23:42:17,Q5_R4,4,PerfectMatch,U218,mrvm,I haven't moved there yet and was wondering how it compares to most European cities... eating out; supermarket shopping; clothes; cosmetics; etc.,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
42,Q5,Family Life in Qatar,2008-12-31 17:48:17,Q5_R6,6,Irrelevant,U226,souls33k3r,Hi guys ... a very silly question but i'm due to be a dad next year in June (w00t!!! w00t!!!) ... just wanted to see how much on average do the parents spend on their newborn kids (milk; clothes; nappies etc.)?,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
43,Q5,Qatar Living Lounge,2010-03-25 22:56:10,Q5_R9,9,Irrelevant,U229,sumazim,What the hell??! I mean; it's not like it's San Francisco or New York City!! So-called limo service (in a FORD!) cost $30 for one mile ride. Karwa taxi is not that cheap either: 1 mile ride was like $12. Food was also insanely expensive. Hotels were just an outrage. What's the deal?! Is this a strategy to make Doha a party city for the rich only?! but then; those who're rich is because they didn't spend their money on stupid stuff like a $50 lunch!,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
44,Q5,Doha Shopping,2010-06-05 11:40:01,Q5_R17,17,Irrelevant,U234,tartancammy,Hello; I live in England and my sister is in Doha. Is it possible for me to purchase gift vouchers for my sister to use in department stores in Doha? I would like to pay online and then email my sister a reference. Does anybody know of any shops that allow this?,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
45,Q5,Qatari Culture,2008-02-25 14:47:22,Q5_R44,44,Irrelevant,U2,anonymous,We have been invited to a Qatari Wedding this Thursday; and apart from not knowing anyone (as my husband will be on the men's party and I will be at the women's party - to state the obvious!) I have no idea what to expect and what the customs are.  What should I wear? Do we bring a gift?  What happens during a wedding? I am very honored to have been invited but terrified of making a fool of my self!,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
46,Q5,Qatar Living Lounge,2006-09-15 06:45:19,Q5_R47,47,Irrelevant,U246,sclarke,Hiya! My husband and I will be relocating to Doha before the end of the year from Singapore. Would be great to meet up with fellow singaporeans or anyone who would like to meet up with us (fellow newbies or folks who have been in Doha for a while). We are looking for a place to stay too; either an apartment or villa. We can't wait to get there!,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
47,Q5,Moving to Qatar,2010-05-03 08:12:00,Q5_R48,48,Irrelevant,U252,kiwiswithwings,Just wondering if it's worth shipping the kids bikes; skateboards; xbox360 etc over with our other personal effects from New Zealand? What have others done? Cheers!,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
48,Q5,Qatar Living Lounge,2007-02-26 14:56:48,Q5_R54,54,Irrelevant,U261,blackcat, do we consider Qatar as our home? I am just wondering; are there and how many (if any) of us would like to immigrate to another country; let&#39;s say to US or Canada?,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
49,Q5,Qatar Living Lounge,2010-03-17 04:45:26,Q5_R55,55,Irrelevant,U265,Slim8589,Anybody else out there starting at Al Khor International School in September 2010? Would be good to make some contacts in advance; share info etc. Already have a colleague there that I used to work with (2 in fact) but keen to hear from others too.,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,none
50,Q6,Moving to Qatar,2012-09-25 15:36:57,Q6_R2,2,Irrelevant,U267,nemesis01,I am currently working here in Qatar; our employer informed us that they will transfer to contractor with less salary; but we have option not to accept; but the problem is I have Personal Loan in one of the BAnk here in DOHA; what if I will not accept the offer; what will happen to me ; I mean did the BAnk will force to pay or not?,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
51,Q6,Salary and Allowances,2012-01-17 16:02:04,Q6_R3,3,PerfectMatch,U269,Aluhmc,I AM WORKING IN QATAR ON LAST 6 YEARS; MY PRESENT SALARY 5000 QR; I WOULD LIKE TO RESIGN FROM MY JOB AND SETTLE BACK TO MY NATIV COUNTRY; CAN U PLEASE ADVISE ME WHAT KIND OF BENEFITS I CAN EXPECT ACCORDING TO QATAR LABOR LAW. (IS IT COMPANY CAN GIVE THE GRATUITY TOGETHER WITH MONTHLY SALARY IS IT ALLOW BY THE LAW HERE) IF I GO LEGAL ACTION AGAINST COMPANY ANY USE?? PLEASE ADVISE,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
52,Q6,Visas and Permits,2012-01-18 16:08:30,Q6_R5,5,PerfectMatch,U131,ever_love35,Dear All; I have been working with a local company; my probaion period is 6 months. however i m not happy with my job; and would like to change. i got another offer from different co. 1.can i resign? if so how many days notice as per qatari law. 2.can i change my sponsorship to my new company I have done medical but finger print NOT done; not contract sign.. pls help me,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
53,Q6,Working in Qatar,2011-08-26 19:21:36,Q6_R6,6,Relevant,U275,monski,I just want to ask if there is new rules about the ban in Qatar;once you are cancelled. Is there any ways to comeback and seek for a job again?,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
54,Q6,Visas and Permits,2012-06-17 13:49:58,Q6_R8,8,Irrelevant,U282,nayhr,My wife in my sponsorship (husband visa). Currently working in a company here in qatar; But she decided to resign. And her employee(owner of the company) doesn't want to allow her to resign; they say they will sue us and we will meet in the court? Is this possible? if ever my wife sign a contract to them and not yet finished; can they really sue her? If ever; anyone knows a lawyer to help us? thanks!,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
55,Q6,Working in Qatar,2008-08-11 06:29:14,Q6_R13,13,PerfectMatch,U285,bmw888,Hi Guys; I got a job offer from Qatar and the probation periods are for three months. If for any reason I dont like the company or the job; can I leave my job? I need some advise from the experts out here. Thanks,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
56,Q6,Welcome to Qatar,2009-07-13 15:37:34,Q6_R32,32,Relevant,U290,bahaynikuya,Is it right to resign from your job at this time of global crisis? the reason is i'm not doing anything in the office. I feel bored everyday. I fee useless; but I'm hesistant to resign because of the condition today even that I'm on husband sponsor. Please advise me.,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
57,Q6,Qatar Living Lounge,2010-08-31 15:14:43,Q6_R38,38,Irrelevant,U299,kapalic,My sponsor is not willing to give me exit permit in the fear of my not return. I am about 3 years at Qatar; and I want to go home on a vacation before Eid. Is there any way to go home without the exit permit from sponsor? I want to go home before Eid; no matter what does it cost; even cancellation of my visa. Thank you for your advice.,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
58,Q6,Qatar Living Lounge,2011-01-15 10:43:00,Q6_R39,39,Irrelevant,U306,x-maki77,Hi to all; I'm six years now working my company can i get my 5 years gratuity pay from my company? Any labor law related to it? Thanks for your help.,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
59,Q6,Advice and Help,2010-03-19 17:26:54,Q6_R46,46,Irrelevant,U313,SuperSuper,hey guys. I`m a nurse here in the phils. i just signed a contract for hamad as a staff nurse. the offer is 5600 qatar riyals per month plus 1000 qatar riyal for transportation allowance. Is that a great deal? how about the free accommodation does it look good? I`m anxious about my new job. help pls.,Can we resign from the job??,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,none
60,Q7,Qatar Living Lounge,2008-09-02 23:29:36,Q7_R22,22,Relevant,U317,harsha,Hey... Just wanted to check where i can get tyres for my car.. and of course at the best prices.. lol.. Cheerz,anyone knows where the best to sell or trade cars here in Doha?,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,none
61,Q7,Qatar Living Lounge,2012-08-31 01:19:26,Q7_R24,24,Irrelevant,U322,RyanCanuck,I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!),anyone knows where the best to sell or trade cars here in Doha?,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,none
62,Q7,Qatar Living Lounge,2007-04-17 15:56:22,Q7_R26,26,Irrelevant,U328,Raaz,Have any expats on this forum either bought property in Qatar; or considered buying and then rejected - i.e zig zag towers; the Pearl etc ? I'm trying to evaluate whether or not this would be a good investment. What do you think are the potential risks and upsides ? If you have bought; what was your experience of the process and in hindsight; was it a good decision ? Regards,anyone knows where the best to sell or trade cars here in Doha?,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,none
